country,scenario,year,olefins_activity,h2_intensity,h2_demand_t_per_yr,scope
HR,decarbo-eu,2041,0.0,0.0178,0.0,petrochem_olefins
HR,decarbo-eu,2042,0.0,0.0176,0.0,petrochem_olefins
HR,decarbo-eu,2043,0.0,0.0174,0.0,petrochem_olefins
HR,decarbo-eu,2044,0.0,0.017200000000000003,0.0,petrochem_olefins
HR,decarbo-eu,2045,0.0,0.017,0.0,petrochem_olefins
HR,decarbo-eu,2046,0.0,0.016800000000000002,0.0,petrochem_olefins
HR,decarbo-eu,2047,0.0,0.0166,0.0,petrochem_olefins
HR,decarbo-eu,2048,0.0,0.0164,0.0,petrochem_olefins
HR,decarbo-eu,2049,0.0,0.016200000000000003,0.0,petrochem_olefins
HR,decarbo-eu,2050,0.0,0.016,0.0,petrochem_olefins
HU,decarbo-eu,2019,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2020,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2021,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2022,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2023,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2024,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2025,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2026,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2027,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2028,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2029,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2030,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,decarbo-eu,2031,838928.5714285712,0.0198,16610.785714285714,petrochem_olefins
HU,decarbo-eu,2032,838928.5714285712,0.0196,16442.999999999996,petrochem_olefins
