country,scenario,year,olefins_activity,h2_intensity,h2_demand_t_per_yr,scope
NL,bau-eu,2029,3845535.5133281793,0.02,76910.71026656359,petrochem_olefins
NL,bau-eu,2030,3560842.5159938144,0.02,71216.85031987629,petrochem_olefins
NL,bau-eu,2031,3349913.8102108086,0.019950000000000002,66830.78051370564,petrochem_olefins
NL,bau-eu,2032,3138985.1044278033,0.0199,62465.803578113286,petrochem_olefins
NL,bau-eu,2033,2928056.398644799,0.01985,58121.91951309926,petrochem_olefins
NL,bau-eu,2034,2717127.692861794,0.0198,53799.12831866353,petrochem_olefins
NL,bau-eu,2035,2506198.987078789,0.01975,49497.42999480609,petrochem_olefins
NL,bau-eu,2036,2295270.281295784,0.0197,45216.82454152694,petrochem_olefins
NL,bau-eu,2037,2084341.5755127794,0.019649999999999997,40957.31195882611,petrochem_olefins
NL,bau-eu,2038,1873412.8697297736,0.0196,36718.89224670356,petrochem_olefins
NL,bau-eu,2039,1662484.1639467687,0.01955,32501.56540515933,petrochem_olefins
NL,bau-eu,2040,1451555.4581637639,0.0195,28305.331434193395,petrochem_olefins
NL,bau-eu,2041,1360393.6583143414,0.01945,26459.65665421394,petrochem_olefins
NL,bau-eu,2042,1269231.8584649193,0.0194,24623.098054219434,petrochem_olefins
NL,bau-eu,2043,1178070.0586154975,0.019350000000000003,22795.65563420988,petrochem_olefins
NL,bau-eu,2044,1086908.2587660751,0.0193,20977.32939418525,petrochem_olefins
NL,bau-eu,2045,995746.4589166532,0.01925,19168.119334145573,petrochem_olefins
NL,bau-eu,2046,904584.659067231,0.0192,17368.025454090835,petrochem_olefins
NL,bau-eu,2047,813422.8592178089,0.01915,15577.047754021041,petrochem_olefins
NL,bau-eu,2048,722261.0593683865,0.0191,13795.186233936181,petrochem_olefins
NL,bau-eu,2049,631099.2595189647,0.019049999999999997,12022.440893836276,petrochem_olefins
NL,bau-eu,2050,539937.4596695426,0.019,10258.81173372131,petrochem_olefins
PL,bau-eu,2019,989960.3571428576,0.02,19799.207142857154,petrochem_olefins
PL,bau-eu,2020,989960.3571428576,0.02,19799.207142857154,petrochem_olefins
PL,bau-eu,2021,989960.3571428576,0.02,19799.207142857154,petrochem_olefins
PL,bau-eu,2022,989960.3571428576,0.02,19799.207142857154,petrochem_olefins
PL,bau-eu,2023,989960.3571428576,0.02,19799.207142857154,petrochem_olefins
PL,bau-eu,2024,989960.3571428576,0.02,19799.207142857154,petrochem_olefins
PL,bau-eu,2025,936471.1268197253,0.02,18729.422536394504,petrochem_olefins
PL,bau-eu,2026,882981.8964965935,0.02,17659.63792993187,petrochem_olefins
PL,bau-eu,2027,829492.6661734614,0.02,16589.853323469226,petrochem_olefins
PL,bau-eu,2028,776003.4358503292,0.02,15520.068717006585,petrochem_olefins
PL,bau-eu,2029,722514.2055271973,0.02,14450.284110543947,petrochem_olefins
PL,bau-eu,2030,669024.9752040652,0.02,13380.499504081305,petrochem_olefins
PL,bau-eu,2031,629394.8675757543,0.019950000000000002,12556.4276081363,petrochem_olefins
PL,bau-eu,2032,589764.7599474434,0.0199,11736.318722954124,petrochem_olefins
PL,bau-eu,2033,550134.6523191322,0.01985,10920.172848534774,petrochem_olefins
PL,bau-eu,2034,510504.54469082144,0.0198,10107.989984878266,petrochem_olefins
PL,bau-eu,2035,470874.43706251046,0.01975,9299.770131984582,petrochem_olefins
PL,bau-eu,2036,431244.3294341994,0.0197,8495.513289853727,petrochem_olefins
PL,bau-eu,2037,391614.22180588846,0.019649999999999997,7695.219458485707,petrochem_olefins
PL,bau-eu,2038,351984.1141775774,0.0196,6898.888637880516,petrochem_olefins
PL,bau-eu,2039,312354.00654926634,0.01955,6106.520828038158,petrochem_olefins
PL,bau-eu,2040,272723.8989209555,0.0195,5318.116028958632,petrochem_olefins
PL,bau-eu,2041,255596.06453628995,0.01945,4971.343455230839,petrochem_olefins
PL,bau-eu,2042,238468.2301516245,0.0194,4626.283664941516,petrochem_olefins
